,compound,positive,negative,neutral
1939,0.0,0.0,0.0,1.0
1940,0.0,0.0,0.0,1.0
1941,0.0,0.0,0.0,1.0
1942,0.0,0.0,0.0,1.0
1943,0.0,0.0,0.0,1.0
1944,0.4754,0.436,0.0,0.564
1945,0.4767,0.383,0.0,0.617
1946,0.4019,0.574,0.0,0.426
1947,0.6249,0.672,0.0,0.328
1948,0.0,0.0,0.0,1.0
1949,0.802,0.507,0.0,0.493
1950,0.0,0.0,0.0,1.0
1951,0.0,0.0,0.0,1.0
1952,0.0,0.0,0.0,1.0
1953,0.6249,0.406,0.0,0.594
1954,0.0,0.0,0.0,1.0
1955,0.4404,0.744,0.0,0.256
1956,0.0,0.0,0.0,1.0
1957,0.0,0.0,0.0,1.0
1958,0.0,0.0,0.0,1.0
1959,0.2732,0.412,0.0,0.588
1960,-0.34,0.0,0.545,0.455
1961,0.4215,0.483,0.0,0.517
1962,-0.5256,0.0,0.326,0.674
1963,0.765,0.688,0.0,0.312
1964,0.6249,0.672,0.0,0.328
1965,0.8508,0.734,0.0,0.266
1966,0.0,0.0,0.0,1.0
1967,0.4404,0.492,0.0,0.508
1968,0.5719,0.481,0.0,0.519
1969,0.4927,0.444,0.0,0.556
1970,0.0,0.0,0.0,1.0
1971,0.4215,0.483,0.0,0.517
1972,0.6249,0.577,0.0,0.423
1973,0.6369,0.677,0.0,0.323
1974,0.4927,0.516,0.0,0.484
1975,0.6369,0.677,0.0,0.323
1976,0.4215,0.737,0.0,0.263
1977,0.6249,0.672,0.0,0.328
1978,0.0,0.0,0.0,1.0
1979,0.0,0.0,0.0,1.0
1980,0.0,0.0,0.0,1.0
1981,0.0,0.0,0.0,1.0
1982,0.0,0.0,0.0,1.0
1983,0.7645,0.226,0.0,0.774
1984,-0.5106,0.104,0.164,0.731
1985,0.9403,0.365,0.0,0.635
1986,0.7906,0.368,0.0,0.632
1987,-0.3593,0.095,0.199,0.706
1988,0.836,0.241,0.0,0.759
1989,0.1531,0.127,0.1,0.773
1990,-0.4767,0.0,0.279,0.721
1991,0.8658,0.338,0.0,0.662
1992,0.7788,0.325,0.09,0.585
1993,0.7825,0.287,0.049,0.664
1994,0.9062,0.42,0.0,0.58
1995,-0.7717,0.097,0.339,0.564
1996,0.0,0.0,0.0,1.0
1997,0.3182,0.173,0.0,0.827
1998,0.6249,0.177,0.0,0.823
1999,0.7717,0.325,0.0,0.675
2000,0.4404,0.153,0.0,0.847
2001,0.0,0.0,0.0,1.0
2002,0.7783,0.343,0.0,0.657
2003,0.9042,0.265,0.0,0.735
2004,0.5994,0.234,0.0,0.766
2005,-0.3716,0.0,0.076,0.924
2006,0.9607,0.551,0.0,0.449
2007,0.8251,0.464,0.0,0.536
2008,0.6369,0.157,0.0,0.843
2009,0.6808,0.345,0.121,0.534
2010,0.802,0.356,0.0,0.644
2011,0.6249,0.272,0.0,0.728
2012,0.8377,0.498,0.0,0.502
2013,0.3182,0.15,0.0,0.85
2014,0.0,0.0,0.0,1.0
2015,0.1779,0.072,0.0,0.928
2016,-0.4767,0.112,0.159,0.73
2017,0.0,0.0,0.0,1.0
2018,-0.2732,0.0,0.1,0.9
2019,0.0,0.0,0.0,1.0
2020,-0.1531,0.077,0.105,0.818
2021,0.1531,0.118,0.078,0.804
2022,-0.25,0.089,0.158,0.753
2023,0.4926,0.225,0.0,0.775
2024,0.4404,0.293,0.0,0.707
2025,0.504,0.179,0.0,0.821
2026,-0.296,0.0,0.155,0.845
2027,0.4374,0.132,0.0,0.868
2028,-0.75,0.0,0.273,0.727
2029,0.0,0.0,0.0,1.0
2030,0.4917,0.345,0.176,0.479
2031,0.0,0.0,0.0,1.0
2032,0.3182,0.095,0.0,0.905
2033,0.3182,0.092,0.051,0.857
2034,0.0,0.0,0.0,1.0
2035,0.0,0.0,0.0,1.0
2036,0.4767,0.362,0.0,0.638
2037,-0.6801,0.0,0.162,0.838
2038,0.743,0.16,0.0,0.84
2039,0.3612,0.116,0.0,0.884
2040,0.8807,0.531,0.0,0.469
2041,0.6374,0.174,0.059,0.767
2042,0.4767,0.237,0.0,0.763
2043,0.3182,0.091,0.0,0.909
2044,0.8555,0.402,0.0,0.598
2045,0.8442,0.378,0.0,0.622
2046,0.3878,0.308,0.149,0.544
2047,0.0,0.0,0.0,1.0
2048,0.8658,0.427,0.0,0.573
2049,0.0,0.0,0.0,1.0
2050,0.0,0.0,0.0,1.0
2051,-0.5849,0.0,0.159,0.841
2052,0.7778,0.312,0.0,0.688
2053,-0.1779,0.063,0.093,0.844
2054,0.0,0.0,0.0,1.0
2055,0.0,0.0,0.0,1.0
2056,0.1045,0.188,0.164,0.647
2057,-0.296,0.101,0.154,0.746
2058,0.25,0.179,0.115,0.705
2059,0.7184,0.4,0.0,0.6
2060,0.0,0.0,0.0,1.0
2061,-0.5255,0.0,0.134,0.866
2062,0.5456,0.238,0.077,0.686
2063,0.8481,0.327,0.0,0.673
2064,0.3182,0.204,0.0,0.796
2065,0.8615,0.303,0.0,0.697
2066,0.5719,0.291,0.0,0.709
2067,-0.5704,0.0,0.129,0.871
2068,0.8231,0.332,0.085,0.583
2069,0.0,0.0,0.0,1.0
2070,0.6369,0.174,0.0,0.826
2071,0.4927,0.225,0.0,0.775
2072,-0.6908,0.0,0.251,0.749
2073,0.0602,0.195,0.18,0.625
2074,0.4767,0.181,0.0,0.819
2075,0.7003,0.367,0.0,0.633
2076,-0.34,0.059,0.123,0.818
2077,0.0,0.0,0.0,1.0
2078,-0.3009,0.086,0.169,0.746
2079,0.4767,0.193,0.0,0.807
2080,0.8591,0.323,0.0,0.677
2081,0.4939,0.212,0.095,0.693
2082,0.7003,0.274,0.0,0.726
2083,0.6361,0.228,0.0,0.772
2084,-0.0531,0.077,0.106,0.817
2085,0.7184,0.3,0.0,0.7
2086,0.483,0.176,0.14,0.684
2087,0.7717,0.283,0.0,0.717
2088,0.7845,0.434,0.0,0.566
2089,-0.1779,0.106,0.163,0.731
2090,0.2211,0.086,0.05,0.863
2091,0.0772,0.049,0.0,0.951
2092,-0.6833,0.0,0.204,0.796
2093,0.0,0.08,0.08,0.839
2094,0.167,0.062,0.0,0.938
2095,0.3875,0.18,0.0,0.82
2096,0.0,0.0,0.0,1.0
2097,0.7501,0.363,0.0,0.637
2098,0.8807,0.459,0.0,0.541
2099,0.0,0.0,0.0,1.0
2100,0.3818,0.157,0.0,0.843
